fecha,bytes_total,requests_total,total_transfer,promedio_por_request,peso_imagenes,peso_scripts,peso_css,fcp,lcp,speed_index,tbt,clst,cpu_time_ms,cpu_avg_percent,ram_avg_mb,energia_kwh,co2_kg,eficiencia_transferencia_kb_request,porcentaje_imagenes
2026-04-18,3429947,142,3429946,24154.549295774646,731219,2063835,1939,2131.701,9548.84,6563.417309946666,1173,0.027284,3281.163999999989,0.155,9.12109375,0.0061739028000000005,0.0027782562600000005,24.154549295774647,0.2131867382168699
2026-04-19,3513112,166,3513111,21163.319277108432,486685,2372735,1939,7347.1630000000005,20319.851000000002,9564.994318562476,1297.5000000000036,0.030694,4449.11200000001,0.12916666666666668,9.13671875,0.0063235998,0.0028456199100000005,21.16331927710843,0.13853390911929625
2026-04-20,3718592,170,3718591,21874.064705882352,687254,2391829,1943,2133.837,9606.3015,8632.051490550173,1902.5000000000055,0.030694,6284.255999999985,38.2875,629.05859375,0.0066934638,0.00301205871,21.874064705882354,0.18481570035532274
2026-04-21,3350642,144,3350641,23268.340277777777,637612,2078368,1943,7743.1885,20679.089750000003,9086.26796354506,955.5,0.027284,3253.0960000000123,35.68571428571429,525.5279017857143,0.0060311538,0.0027140192100000003,23.268340277777778,0.19029552852722809
2026-04-22,3927145,157,3927144,25013.656050955415,838547,2366162,1943,7686.683500000001,21401.88525,10381.861926826516,1178,0.038074,4027.4120000000153,23.7,583.9677734375,0.0070688591999999995,0.00318098664,25.013656050955415,0.21352591094189569
2026-04-24,3387647,143,3387646,23689.832167832166,684560,2071277,1943,7738.751,18873.6687,9038.509473901548,1005.5,0.027284,3294.4839999999904,18.233333333333334,519.53125,0.0060977628,0.00274399326,23.689832167832165,0.20207542346514365
2026-04-26,3630606,167,3630605,21740.149700598802,589508,2388911,1943,7348.626250000001,20562.204999999994,9640.314404700192,1318,0.030694,4591.883999999998,18.257142857142856,537.2472098214286,0.006535089,0.0029407900500000002,21.740149700598803,0.16237183609894218
2026-04-27,3329687,144,3329686,23122.819444444445,618933,2076717,1943,4979.4285,12881.118999999999,9325.397024906237,3459.7315,0.066403,7280.52799999995,32.0125,643.810546875,0.0059934348,0.0026970456600000003,23.122819444444445,0.18588329349974742
2026-04-28,3085110,141,3085109,21880.205673758865,368522,2079570,1939,7662.253500000001,17290.049,8179.402865206455,1086,0.054344,3611.495999999999,17.871428571428574,504.2611607142857,0.0055531962,0.00249893829,21.880205673758866,0.11945185729256244
2026-04-29,3280065,143,3280064,22937.51048951049,559261,2086091,1939,7344.24225,20811.130349999996,9021.921119539347,1005.5,0.027284,3344.875999999992,32.78333333333333,534.9654947916666,0.005904115200000001,0.00265685184,22.93751048951049,0.17050307554974536
2026-05-01,3304093,143,3304092,23105.53846153846,600351,2073026,1939,7713.678999999998,18376.3922,8691.745303347197,928,0.030474,3245.868000000011,21.833333333333332,534.2845052083334,0.0059473656,0.00267631452,23.105538461538462,0.1816992383989308
2026-05-04,3740058,167,3740057,22395.550898203594,686594,2397230,1939,8302.84,19624.010000000002,10598.622536584473,2036.4999999999982,0.030694,6893.507999999988,54.325,631.5849609375,0.0067321026,0.0030294461700000005,22.395550898203595,0.18357848556853545
2026-05-05,3365102,146,3365101,23048.63698630137,643270,2087661,1939,8218.608,20162.581499999993,9315.175355956204,1070.5,0.033663,3414.6199999999903,10.4,577.4772135416666,0.0060571818,0.00272573181,23.04863698630137,0.19115919551894578
2026-05-06,3621226,154,3621225,23514.448051948053,582472,2326531,1939,4850.295000000002,16944.843000000004,9366.25595292705,1354.5,0.029635,4150.400000000001,19.642857142857142,539.2293526785714,0.006518205,0.00293319225,23.514448051948055,0.16084943630953613
2026-05-07,3861286,199,3861285,19403.442211055277,618502,2473389,1939,7195.661499999998,20457.672000000006,9449.049210755617,1496,0.0595,4015.3360000000025,32.114285714285714,567.0770089285714,0.006950313,0.00312764085,19.403442211055278,0.16018035446748946
2026-05-08,3236208,145,3236207,22318.66896551724,560029,2042051,1939,4776.143999999999,15036.188000000002,8779.879493404627,2758,0.013642,6356.923999999989,38.5,624.2392578125,0.0058251726,0.00262132767,22.31866896551724,0.17305104401541682
